,input_size,channels,pool_size,stride,runtime
548,215,401,2,1,2.26621603966
549,103,276,3,1,
550,360,507,3,1,
551,11,372,2,2,0.00160533329472
552,369,32,1,1,
553,33,129,3,2,
554,289,258,1,2,
555,33,217,3,1,
556,31,301,1,2,
557,64,223,2,2,
558,444,185,1,1,
559,430,224,1,1,
560,59,24,3,1,0.0167340002954
561,185,497,1,2,
562,407,56,2,1,
563,20,276,1,2,
564,50,10,3,2,0.00121400004718
565,246,109,3,1,
566,184,280,1,1,
567,236,421,2,1,
568,215,469,2,1,2.66785931587
569,394,425,1,2,
570,163,184,2,1,
571,204,354,1,2,0.278648346663
572,66,28,1,2,
573,179,362,2,1,
574,48,348,2,2,
575,47,213,3,2,
576,23,356,3,2,
577,79,18,3,2,
578,73,152,3,1,
579,383,330,2,1,
580,102,295,2,2,
581,242,2,1,1,0.00855199992657
582,196,408,1,1,1.14827954769
583,119,240,1,2,
584,248,153,2,1,
585,371,168,2,1,
586,89,143,3,2,
587,95,436,1,1,
588,309,343,2,1,
589,379,378,2,1,
590,134,379,2,2,
591,90,365,2,2,
592,404,242,1,1,
593,437,5,3,2,0.0559290014207
594,162,217,2,2,
595,339,361,3,1,
596,147,414,2,2,
597,73,226,1,1,
598,43,473,3,1,
599,203,475,3,2,1.00283396244
600,187,408,1,1,
601,56,464,1,1,
602,307,337,2,2,
603,74,419,1,1,
604,178,385,3,1,
605,48,450,3,2,
606,437,299,2,1,
607,182,2,2,1,0.00808066595346
608,309,173,1,1,
609,8,51,3,1,0.000656333286315
610,106,350,1,2,
611,120,34,2,1,
612,244,209,1,1,
613,248,209,3,1,
614,97,484,3,2,
615,245,111,3,2,
616,288,54,2,1,
617,38,153,2,1,
618,100,215,1,1,
619,111,24,2,2,
620,203,43,3,1,0.352820008993
621,159,502,3,2,
622,433,22,2,2,
623,87,499,2,2,
624,72,475,1,2,
625,317,284,3,2,
626,9,121,3,2,0.000620333361439
627,164,16,1,2,
628,419,115,1,1,
629,30,413,3,2,
630,62,80,2,2,
631,103,493,2,1,
632,424,151,1,1,
633,313,500,3,2,
634,200,476,3,2,0.981096744537
635,105,41,3,1,
636,305,461,2,2,
637,88,52,1,1,
638,289,480,2,2,
639,405,447,2,1,
640,125,462,3,1,
641,423,347,2,1,
642,257,214,1,1,
643,235,133,2,2,
644,407,204,2,1,
645,313,211,3,1,
646,6,248,1,1,0.00088533340022
647,17,432,1,2,
648,324,152,2,2,
649,208,400,3,2,0.89569401741
650,340,500,2,1,
651,63,219,3,2,
652,133,297,3,2,
653,160,394,1,1,
654,195,120,3,2,0.232749342918
655,137,353,3,2,
656,335,71,2,2,
657,26,242,3,1,
658,77,405,3,1,
659,129,226,3,2,
660,167,126,3,2,
661,309,281,2,2,
662,119,18,3,1,
663,6,154,2,1,0.000674000009894
664,341,372,3,2,
665,441,325,2,2,
666,35,240,3,2,
667,82,294,3,1,
668,126,168,2,2,
669,84,171,3,2,
670,108,349,3,2,
671,249,66,2,1,
672,336,235,3,1,
673,186,151,1,2,
674,390,106,1,1,
675,198,170,2,2,0.227786004543
676,359,334,2,2,
677,253,447,1,1,
678,285,35,2,2,
679,49,473,3,1,
680,128,16,3,1,
681,53,335,2,2,
682,77,327,3,2,
683,239,321,2,1,
684,349,354,3,1,
685,178,200,3,1,
686,306,256,3,1,
687,400,50,1,2,
688,21,178,3,1,
689,407,494,1,2,
690,299,383,3,2,
691,54,234,1,1,
692,203,386,3,1,3.16445708275
693,221,46,1,2,0.0426760017872
694,306,157,3,2,
695,400,503,1,2,
696,429,338,1,2,
697,150,208,1,2,
698,251,312,3,2,
699,263,137,3,1,
700,198,252,3,2,0.518014013767
701,340,219,3,2,
702,89,5,3,2,0.00194366660435
703,333,288,2,1,
704,75,499,3,2,
705,105,66,2,2,
706,318,311,1,1,
707,3,250,1,2,9.60000033956e-05
708,51,392,2,1,
709,255,92,3,2,
710,184,460,3,1,
711,317,221,1,2,
712,131,316,3,1,
713,344,25,2,1,
714,375,311,1,1,
715,158,18,3,1,
716,51,273,2,2,
717,296,282,2,2,
718,153,153,3,1,
719,29,97,1,2,0.00152033334598
720,240,91,2,1,
721,179,90,3,1,
722,439,211,1,2,
723,406,140,3,2,
724,211,110,2,1,0.609273016453
725,390,505,1,1,
726,261,223,3,1,
727,389,265,2,1,
728,60,356,1,2,
729,140,146,1,1,
730,344,9,1,2,0.0199513342232
731,303,310,2,2,
732,44,110,3,2,
733,143,378,1,2,
734,95,177,2,1,
735,19,174,1,2,
736,123,174,2,2,
737,202,209,3,2,0.431212335825
738,183,448,1,2,
739,304,478,1,1,
740,116,72,1,1,
741,377,300,3,2,
742,51,49,3,2,
743,196,488,1,2,0.370455652475
744,351,185,3,2,
745,321,452,1,1,
746,254,111,1,2,
747,409,271,1,2,
748,216,62,2,2,0.0895916745067
749,448,432,1,1,
750,276,109,1,1,
751,371,350,3,2,
752,408,134,2,2,
753,180,115,3,2,
754,142,184,1,2,
755,149,137,2,1,
756,312,318,3,2,
757,96,226,3,2,
758,156,267,2,1,
759,417,482,3,2,
760,152,127,1,1,
761,394,270,2,2,
762,394,420,3,2,
763,241,296,3,2,
764,436,243,3,1,
765,316,449,1,2,
766,134,321,2,2,
767,366,473,3,2,
768,279,328,2,1,
769,277,433,2,1,
770,407,464,2,1,
771,330,223,1,2,
772,45,342,3,1,
773,266,438,3,1,
774,255,363,1,1,
775,94,318,2,2,
776,379,228,2,2,
777,319,116,3,1,
778,190,213,3,1,
779,63,235,2,1,
780,159,316,3,2,
781,4,421,1,2,0.000153333327034
782,49,38,2,2,0.00278299977072
783,163,385,2,2,
784,221,505,2,1,3.02370262146
785,166,64,3,1,
786,109,266,1,1,
787,193,171,2,1,0.799551665783
788,128,164,1,2,
789,318,238,2,1,
790,335,199,1,1,
791,143,295,3,2,
792,344,432,1,1,
793,297,169,2,2,
794,129,308,3,2,
795,340,464,2,1,
796,332,380,2,2,
797,170,73,1,1,
798,426,111,3,2,
799,201,385,1,1,1.13457000256
800,361,101,2,2,
801,111,248,2,1,
802,304,90,1,1,
803,19,375,1,2,
804,133,160,3,1,
805,328,265,3,1,
806,241,73,2,1,
807,84,36,3,2,
808,208,32,3,1,0.27573466301
809,119,420,3,1,
810,155,347,1,2,
811,354,146,1,2,
812,6,412,2,2,0.000474333326565
813,416,382,2,2,
814,408,86,2,1,
815,34,354,2,2,
816,309,378,3,2,
817,210,249,2,2,0.341053009033
818,223,357,2,2,
819,86,354,2,1,
820,104,129,2,1,
821,289,435,1,2,
822,34,369,2,1,
823,227,162,1,1,
824,305,147,1,2,
825,442,342,1,1,
826,105,422,2,1,
827,204,67,3,2,0.140255004168
828,345,428,2,2,
829,27,425,2,1,
830,380,339,3,2,
831,38,285,2,2,
832,337,12,3,1,0.271967679262
833,120,489,3,1,
834,229,92,1,2,
835,300,35,1,2,
836,24,197,3,1,
837,291,484,2,2,
838,41,435,1,1,
839,56,67,2,1,
840,121,363,3,1,
841,173,402,3,2,
842,414,383,3,1,
843,149,226,1,2,
844,89,166,3,1,
845,64,98,3,2,
846,249,485,2,2,
847,365,190,2,1,
848,214,266,3,1,2.43298864365
849,422,25,2,2,
850,192,410,3,2,
851,412,186,3,1,
852,233,347,2,1,
853,257,163,1,2,
854,52,351,2,1,
855,358,510,1,1,
856,195,511,2,1,2.38839411736
857,38,203,3,2,
858,212,90,3,1,0.812967002392
859,97,490,1,1,
860,274,10,1,2,
861,118,15,2,1,
862,152,501,1,1,
863,179,327,3,1,
864,379,98,2,1,
865,412,180,3,2,
866,67,318,2,2,
867,137,279,1,1,
868,35,463,3,2,
869,443,235,1,1,
870,416,487,3,1,
871,307,497,3,1,
872,314,292,2,1,
873,8,202,3,1,0.00251000002027
874,402,121,3,2,
875,34,95,1,2,
876,31,110,1,2,
877,135,441,1,1,
878,336,198,1,2,
879,303,126,3,1,
880,35,512,1,1,
881,441,1,1,1,0.0143023328856
882,116,241,1,2,
883,422,182,3,1,
884,55,373,3,1,
885,294,402,2,1,
886,447,397,1,1,
887,192,398,3,1,
888,81,464,3,2,
889,305,194,1,1,
890,139,483,1,2,
891,289,505,3,1,
892,161,101,3,1,
893,301,451,3,2,
894,117,303,3,2,
895,411,377,2,1,
896,140,110,1,2,
897,10,19,3,1,0.000378333352273
898,139,193,2,1,
899,262,266,2,1,
900,228,342,1,1,
901,394,378,3,1,
902,84,490,2,1,
903,309,406,1,1,
904,96,91,3,2,
905,366,296,2,1,
906,175,213,2,2,
907,408,144,2,2,
908,52,183,3,1,
909,64,352,3,1,
910,333,335,3,2,
911,262,191,3,2,
912,138,53,3,1,
913,247,376,2,1,
914,137,403,1,1,
915,91,372,1,1,
916,238,490,2,1,
917,131,29,1,2,
918,387,492,3,2,
919,272,84,1,2,
920,325,254,3,1,
921,404,286,2,1,
922,357,486,1,1,
923,206,435,1,2,0.366830974817
924,175,460,1,2,
925,247,81,1,2,
926,143,89,2,2,
927,20,363,1,1,
928,98,496,1,2,
929,431,460,3,1,
930,359,75,3,2,
931,326,340,1,1,
932,250,493,1,2,
933,262,96,3,1,
934,308,213,1,1,
935,426,363,3,2,
936,54,374,1,2,
937,151,325,2,1,
938,342,230,1,2,
939,448,151,1,2,
940,90,75,1,1,
941,96,447,3,2,
942,304,114,3,1,
943,10,16,2,2,8.66666669026e-05
944,323,301,3,1,
945,235,94,1,2,
946,53,307,1,1,
947,188,222,2,1,
948,309,222,1,2,
949,407,323,3,1,
950,88,219,3,1,
951,29,126,2,1,
952,4,398,1,2,0.000146333346493
953,154,191,1,2,
