,input_size_h,input_size_w,channels,filter_size,stride,runtime
318,124,162,36,3,3,0.0167670007795
319,411,32,2,3,3,0.000594999990426
320,251,143,21,3,3,0.0284529998899
321,424,26,88,2,2,0.0286699999124
322,263,94,7,3,2,0.00877000018954
323,130,411,3,3,3,0.00376800005324
324,155,335,2,3,2,0.00536900013685
325,369,163,11,3,3,0.0155210001394
326,351,62,28,3,3,0.0137360002846
327,437,254,1,3,2,0.00573599990457
328,145,446,2,3,2,0.00661600008607
329,398,58,22,2,2,0.0149269998074
330,286,232,12,2,3,0.0105240000412
331,422,326,3,2,2,0.0121499998495
332,224,309,7,3,3,0.0112760001794
333,251,20,102,3,3,0.0107950000092
334,203,416,2,2,3,0.00227100006305
335,322,234,12,2,2,0.0394689999521
336,304,189,9,3,2,0.0264720004052
337,291,226,11,2,3,0.00948399957269
338,295,32,90,3,2,0.0415519997478
339,142,434,15,2,3,0.0120780002326
340,340,353,3,2,3,0.00480100000277
341,25,50,618,3,2,0.0374969989061
342,43,313,8,3,2,0.00541799981147
343,255,291,1,3,3,0.00172599998768
344,162,313,10,2,3,0.0067070000805
345,352,391,4,3,2,0.0453439988196
346,371,206,5,2,3,0.00506199989468
347,194,249,8,2,2,0.0114139998332
348,291,146,23,2,3,0.013135000132
349,44,341,61,2,3,0.0125160003081
350,347,309,5,3,2,0.0280360002071
351,163,193,30,3,2,0.0485620014369
352,9,83,491,3,3,0.00839100033045
353,442,76,4,2,2,0.00394299998879
354,80,127,41,2,2,0.0121299996972
355,287,363,6,2,2,0.018383000046
356,85,435,24,3,3,0.0377940014005
357,94,165,62,2,3,0.0126299997792
358,178,283,5,3,3,0.00583699997514
359,3,65,3505,2,3,0.0094990003854
360,447,350,6,2,3,0.0123770004138
361,78,293,27,2,3,0.00825999956578
362,163,316,13,2,2,0.0196909997612
363,41,227,91,2,2,0.0243430007249
364,107,149,10,3,2,0.00813900027424
365,90,112,30,2,2,0.00892200041562
366,393,339,5,3,3,0.0155689995736
367,442,44,19,2,2,0.0110170003027
368,189,427,6,3,3,0.011369000189
369,187,404,1,2,3,0.00100699998438
370,203,29,79,3,3,0.0206920001656
371,308,33,94,2,3,0.0128039997071
372,57,46,103,2,2,0.0078659998253
373,345,376,4,3,3,0.0121799996123
374,33,55,321,3,2,0.0292639993131
375,247,244,15,2,3,0.0118730003014
376,331,303,4,3,3,0.00933600030839
377,385,420,3,2,3,0.00645099999383
378,8,167,101,3,3,0.00236800010316
379,434,187,6,2,2,0.0142040001228
380,298,130,25,3,2,0.0496970005333
381,422,243,5,3,2,0.0424599982798
382,210,30,135,3,2,0.0412210002542
383,268,445,3,2,2,0.0105550000444
384,71,270,13,2,2,0.00727399997413
385,245,318,9,2,3,0.00938099995255
386,156,170,32,2,3,0.0112490002066
387,317,143,17,3,2,0.039512000978
388,68,385,5,2,2,0.003795000026
389,81,90,27,3,2,0.00991799961776
390,218,420,2,3,2,0.00936700031161
391,363,289,2,2,3,0.00277399993502
392,287,5,254,2,2,0.00922300014645
393,304,148,6,2,3,0.00351800001226
394,298,364,9,3,3,0.0346809998155
395,406,100,3,3,3,0.002831999911
396,84,416,7,3,2,0.0123279998079
397,128,154,38,3,2,0.0381890013814
398,156,333,16,2,3,0.0109280003235
399,314,110,5,3,2,0.00887100026011
400,96,126,21,2,2,0.00753200007603
401,86,160,24,2,3,0.0044049997814
402,235,57,63,2,2,0.024258999154
403,53,310,60,3,3,0.0221050009131
404,300,229,8,2,2,0.0161199998111
405,183,183,19,2,3,0.0112939998507
406,7,332,270,3,3,0.0255319997668
407,448,312,7,2,3,0.025637999177
408,255,243,1,2,2,0.00363299995661
409,442,429,3,2,2,0.0292360000312
410,335,106,23,3,3,0.0186769999564
411,116,283,27,2,2,0.0261199995875
412,90,201,30,2,2,0.0160099994391
413,70,239,41,3,2,0.0350060015917
414,70,376,26,2,3,0.0088759995997
415,408,182,11,2,2,0.0239039994776
416,176,122,42,2,2,0.0263679996133
417,391,125,11,2,3,0.00713300006464
418,126,80,39,3,2,0.0297570005059
419,365,255,6,2,3,0.00810800027102
420,436,365,2,2,3,0.0041899997741
421,73,216,37,3,2,0.0295080002397
422,206,285,12,2,2,0.0206530001014
423,89,375,16,3,2,0.0272690001875
424,253,417,7,3,2,0.0385380014777
425,413,171,8,3,2,0.0290019996464
426,387,155,16,3,3,0.0221389997751
427,389,171,10,2,3,0.0122570004314
428,375,348,3,3,2,0.0297289993614
429,148,9,203,3,3,0.00641999999061
430,58,155,49,2,2,0.0129789998755
431,407,220,5,2,3,0.00591300008819
432,77,201,60,3,2,0.0476550012827
433,407,241,1,3,2,0.00513300020248
434,133,344,1,3,3,0.0010890000267
435,311,187,5,2,3,0.00386200007051
436,413,388,4,3,2,0.033031001687
437,48,19,1021,2,3,0.0120400004089
438,266,429,1,2,2,0.00335699995048
439,145,343,14,3,3,0.016194999218
440,376,301,3,2,3,0.00896099954844
441,109,394,17,2,2,0.0421250015497
442,166,209,26,2,2,0.0262400005013
443,120,229,33,3,3,0.0210350006819
444,353,97,23,3,3,0.018261000514
445,306,141,1,3,2,0.00220700004138
446,284,386,4,3,2,0.0226319991052
447,381,196,11,2,2,0.0239499993622
448,35,213,52,3,2,0.0196630004793
449,136,244,25,3,3,0.019029000774
450,249,12,58,3,2,0.00761700002477
451,400,294,7,2,2,0.0383719988167
452,192,322,13,3,2,0.0414219982922
453,309,160,15,3,2,0.0379979982972
454,160,443,7,2,3,0.00656200014055
455,108,28,225,3,2,0.0326829999685
456,168,65,62,2,2,0.0198190007359
457,99,373,24,2,3,0.0116280000657
458,359,114,13,2,2,0.0156389996409
459,356,173,6,2,3,0.00498599978164
460,296,80,4,3,2,0.00476399995387
461,46,168,33,2,2,0.0150640001521
462,135,73,31,3,3,0.0089090000838
463,48,102,52,3,2,0.012590999715
464,359,355,3,2,2,0.0111809996888
465,263,281,4,3,3,0.00683500012383
466,3,173,1629,3,2,0.0296219997108
467,137,94,64,2,2,0.024274000898
468,252,140,1,3,2,0.00181199994404
469,347,384,1,2,2,0.00388700002804
470,12,229,341,3,2,0.0403609983623
471,391,240,6,3,2,0.029246000573
472,341,385,5,3,2,0.034267000854
473,319,105,12,2,2,0.0117830000818
474,435,126,1,3,3,0.00130000000354
475,400,229,5,2,3,0.00597599986941
476,290,416,3,3,3,0.00830699969083
477,347,320,6,2,3,0.00881899986416
478,255,123,29,2,2,0.0262850001454
479,59,120,141,3,2,0.0499799996614
480,267,436,4,3,2,0.0238969996572
481,351,327,2,2,2,0.00667099980637
482,325,137,3,2,3,0.00341299991123
483,29,174,52,2,2,0.0148769998923
484,366,87,20,2,3,0.00840600021183
