,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
278,219,8,33,20,6,1,0.120246998966
279,219,33,13,33,10,2,0.207077994943
280,219,5,3,8,4,1,0.00402599992231
281,8,5,53,8,2,1,0.000828000018373
282,20,33,137,219,2,2,0.0411590002477
283,8,8,53,5,2,1,0.00121100002434
284,85,137,3,33,4,2,0.0227220002562
285,85,219,3,5,4,1,0.0739340037107
286,137,13,3,53,2,2,0.00251400005072
287,33,13,219,13,4,1,0.116627000272
288,20,85,20,53,2,1,0.024614000693
289,8,219,33,219,6,2,0.151548996568
290,33,33,219,137,10,2,1.10751605034
291,219,20,351,8,6,2,0.930482983589
292,85,20,8,137,10,2,0.0630569979548
293,33,85,219,85,2,2,0.109915003181
294,219,137,5,219,2,2,0.176029995084
295,20,85,351,5,8,1,2.00218391418
296,85,33,137,13,8,1,1.65655398369
297,219,5,20,8,2,2,0.00182100001257
298,85,219,8,85,8,2,0.401329010725
299,33,13,53,33,8,2,0.0292210001498
300,8,20,137,5,2,1,0.00643400009722
301,3,85,85,3,2,1,0.00459600007161
302,33,137,20,20,6,2,0.0690120011568
303,13,33,5,85,6,1,0.0121499998495
304,13,20,219,3,10,1,0.133805006742
305,219,137,13,219,10,1,12.3682088852
306,53,8,219,53,6,1,0.292021006346
307,33,33,33,5,2,2,0.00304000009783
308,13,8,5,5,4,2,0.000373999995645
309,53,13,13,53,8,2,0.013638000004
310,137,13,137,5,8,2,0.175125002861
311,53,5,13,53,4,1,0.00778400013223
312,137,137,53,8,10,2,1.66901504993
313,137,137,13,53,4,2,0.148557007313
314,20,219,219,137,6,1,6.83372402191
315,219,33,20,5,6,2,0.090118996799
316,85,5,3,3,4,1,0.00149799999781
317,137,137,8,53,8,1,1.229591012
318,53,219,85,85,10,2,3.6159889698
319,13,3,85,53,2,2,0.00191099999938
320,33,137,3,137,10,2,0.0732029974461
321,13,33,20,13,6,1,0.0193000007421
322,33,5,219,3,2,2,0.00272300001234
323,137,20,5,8,4,1,0.0182070005685
