,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
273,562,53,351,219,6,1,71.1387557983
274,20,13,13,562,2,2,0.00401300005615
275,20,137,1441,13,8,2,2.51627707481
276,562,219,900,137,4,2,62.9629020691
277,13,137,85,5,4,2,0.0255180001259
278,219,351,53,351,2,2,1.47447502613
279,85,33,20,33,6,1,0.132543995976
280,85,85,1441,900,4,2,29.4371643066
281,8,562,3,137,4,1,0.0518030002713
282,85,53,900,20,6,2,1.85293698311
283,85,33,8,53,8,2,0.0259339995682
284,219,8,351,562,6,2,2.08393096924
285,85,85,900,219,10,1,111.14238739
286,13,33,3,33,6,1,0.00280099990778
287,351,5,8,8,4,1,0.00972099974751
288,137,351,3,33,6,2,0.100396998227
289,219,33,1441,562,8,2,65.3195877075
290,33,33,3,219,8,2,0.0114529998973
291,137,5,53,219,4,1,0.107107996941
292,85,53,53,13,10,2,0.246893003583
293,8,562,13,3,6,1,0.0595250017941
294,219,33,8,219,2,1,0.116851001978
295,8,20,20,5,2,1,0.000691000022925
296,351,219,562,219,10,2,207.508850098
297,562,562,85,351,2,2,9.29690170288
298,351,53,562,5,10,1,39.9425697327
299,219,351,85,900,4,2,18.9510440826
300,351,13,562,562,10,1,53.6618919373
301,219,85,5,562,8,2,0.737627983093
302,20,137,85,8,2,2,0.0118469996378
303,13,562,900,562,4,1,44.6243591309
304,85,85,53,1441,2,2,0.520645022392
305,219,53,53,53,6,2,0.430732011795
306,20,137,85,13,8,1,0.553179979324
307,20,3,351,53,2,1,0.00800599996001
308,8,351,1441,137,4,1,8.20205783844
309,20,351,1441,53,4,2,3.27831411362
310,53,13,3,53,6,2,0.00175399996806
311,33,13,1441,53,4,1,0.739826977253
312,562,13,20,137,8,1,0.844307005405
313,3,137,20,900,2,1,0.0292070005089
314,137,20,85,13,2,1,0.0499119982123
315,85,219,1441,5,6,1,41.1977806091
316,219,137,1441,33,2,1,11.2055921555
317,5,351,85,137,4,2,0.078983001411
318,33,85,219,1441,4,1,10.7199010849
319,85,219,33,219,10,2,2.82712292671
320,8,562,33,5,2,2,0.00775300012901
321,8,351,5,1441,6,1,0.449631989002
